pm10,so2,co,o3,no2,categori
64.0,2.0,30.0,58.0,14.0,SEDANG
53.0,1.0,33.0,53.0,16.0,SEDANG
55.0,2.0,18.0,63.0,19.0,SEDANG
71.0,3.0,35.0,49.0,21.0,SEDANG
74.0,3.0,37.0,69.0,23.0,SEDANG
89.0,3.0,53.0,108.0,26.0,TIDAK SEHAT
71.0,2.0,37.0,114.0,18.0,TIDAK SEHAT
54.0,2.0,18.0,37.0,10.0,SEDANG
46.0,1.0,23.0,63.0,12.0,SEDANG
56.0,2.0,40.0,69.0,22.0,SEDANG
66.0,2.0,34.0,56.0,23.0,SEDANG
71.0,2.0,43.0,111.0,27.0,TIDAK SEHAT
62.0,2.0,35.0,73.0,17.0,SEDANG
56.0,2.0,33.0,47.0,16.0,SEDANG
51.0,1.0,23.0,89.0,16.0,SEDANG
47.0,2.0,23.0,57.0,11.0,SEDANG
56.0,2.0,42.0,66.0,25.0,SEDANG
56.0,2.0,37.0,94.0,23.0,SEDANG
61.0,2.0,28.0,47.0,14.0,SEDANG
54.0,3.0,33.0,62.0,15.0,SEDANG
56.0,2.0,33.0,54.0,21.0,SEDANG
34.0,1.0,22.0,27.0,8.0,BAIK
34.0,1.0,15.0,44.0,7.0,BAIK
47.0,1.0,22.0,52.0,7.0,SEDANG
47.0,1.0,30.0,61.0,11.0,SEDANG
60.0,1.0,37.0,117.0,32.0,TIDAK SEHAT
49.0,1.0,31.0,121.0,22.0,TIDAK SEHAT
60.0,2.0,46.0,88.0,20.0,SEDANG
65.0,2.0,32.0,99.0,20.0,SEDANG
68.0,2.0,26.0,75.0,19.0,SEDANG
56.0,1.0,32.0,68.0,12.0,SEDANG
73.0,2.0,53.0,77.0,20.0,SEDANG
64.0,2.0,32.0,66.0,12.0,SEDANG
82.0,1.0,43.0,63.0,13.0,SEDANG
70.0,2.0,16.0,62.0,12.0,SEDANG
56.0,2.0,33.0,48.0,19.0,SEDANG
71.0,3.0,27.0,54.0,12.0,SEDANG
74.0,3.0,18.0,64.0,12.0,SEDANG
72.0,1.0,15.0,61.0,12.0,SEDANG
75.0,3.0,28.0,58.0,18.0,SEDANG
81.0,1.0,28.0,53.0,16.0,SEDANG
53.0,1.0,31.0,43.0,17.0,SEDANG
62.0,2.0,28.0,55.0,16.0,SEDANG
58.0,2.0,32.0,74.0,25.0,SEDANG
61.0,3.0,32.0,76.0,19.0,SEDANG
56.0,1.0,32.0,70.0,18.0,SEDANG
57.0,2.0,35.0,37.0,15.0,SEDANG
74.0,3.0,45.0,57.0,22.0,SEDANG
72.0,2.0,34.0,48.0,28.0,SEDANG
57.0,2.0,33.0,45.0,28.0,SEDANG
69.0,3.0,25.0,46.0,18.0,SEDANG
66.0,3.0,29.0,72.0,21.0,SEDANG
73.0,3.0,30.0,63.0,28.0,SEDANG
39.0,1.0,34.0,91.0,28.0,SEDANG
32.0,4.0,31.0,69.0,24.0,SEDANG
66.0,2.0,36.0,37.0,16.0,SEDANG
59.0,3.0,45.0,83.0,24.0,SEDANG
63.0,2.0,30.0,78.0,24.0,SEDANG
77.0,2.0,24.0,68.0,25.0,SEDANG
59.0,2.0,14.0,74.0,16.0,SEDANG
67.0,3.0,13.0,48.0,18.0,SEDANG
58.0,3.0,10.0,51.0,17.0,SEDANG
70.0,3.0,6.0,61.0,19.0,SEDANG
50.0,2.0,20.0,24.0,11.0,BAIK
56.0,3.0,33.0,4.0,14.0,SEDANG
53.0,3.0,28.0,4.0,13.0,SEDANG
47.0,2.0,31.0,3.0,11.0,BAIK
55.0,2.0,42.0,4.0,18.0,SEDANG
39.0,1.0,32.0,3.0,14.0,BAIK
67.0,2.0,53.0,6.0,29.0,SEDANG
86.0,4.0,46.0,6.0,21.0,SEDANG
60.0,2.0,42.0,5.0,17.0,SEDANG
66.0,2.0,35.0,5.0,19.0,SEDANG
37.0,1.0,33.0,3.0,9.0,BAIK
66.0,2.0,58.0,4.0,25.0,SEDANG
56.0,4.0,51.0,41.0,13.0,SEDANG
60.0,4.0,26.0,44.0,13.0,SEDANG
83.0,2.0,71.0,94.0,21.0,SEDANG
71.0,3.0,53.0,69.0,19.0,SEDANG
62.0,4.0,54.0,31.0,21.0,SEDANG
54.0,5.0,33.0,35.0,15.0,SEDANG
58.0,4.0,40.0,49.0,17.0,SEDANG
71.0,4.0,53.0,66.0,30.0,SEDANG
77.0,4.0,48.0,46.0,16.0,SEDANG
61.0,5.0,34.0,63.0,11.0,SEDANG
67.0,5.0,36.0,100.0,18.0,SEDANG
77.0,5.0,36.0,104.0,21.0,TIDAK SEHAT
85.0,10.0,34.0,93.0,18.0,SEDANG
83.0,6.0,58.0,74.0,26.0,SEDANG
58.0,11.0,38.0,46.0,19.0,SEDANG
63.0,11.0,33.0,47.0,13.0,SEDANG
62.0,8.0,35.0,39.0,12.0,SEDANG
55.0,7.0,31.0,35.0,20.0,SEDANG
67.0,8.0,43.0,58.0,21.0,SEDANG
55.0,5.0,43.0,41.0,23.0,SEDANG
57.0,7.0,51.0,23.0,22.0,SEDANG
52.0,6.0,49.0,21.0,22.0,SEDANG
58.0,8.0,46.0,37.0,15.0,SEDANG
61.0,7.0,33.0,40.0,12.0,SEDANG
74.0,13.0,38.0,67.0,17.0,SEDANG
70.0,7.0,36.0,91.0,18.0,SEDANG
57.0,7.0,37.0,67.0,20.0,SEDANG
80.0,10.0,39.0,75.0,26.0,SEDANG
60.0,6.0,45.0,58.0,21.0,SEDANG
60.0,5.0,36.0,76.0,19.0,SEDANG
35.0,4.0,32.0,47.0,20.0,BAIK
65.0,8.0,46.0,59.0,19.0,SEDANG
75.0,8.0,43.0,51.0,23.0,SEDANG
68.0,6.0,43.0,88.0,25.0,SEDANG
75.0,7.0,45.0,59.0,20.0,SEDANG
64.0,12.0,41.0,66.0,21.0,SEDANG
72.0,9.0,30.0,76.0,16.0,SEDANG
69.0,6.0,56.0,68.0,22.0,SEDANG
56.0,4.0,40.0,52.0,19.0,SEDANG
71.0,9.0,54.0,36.0,21.0,SEDANG
58.0,8.0,31.0,57.0,17.0,SEDANG
63.0,8.0,44.0,44.0,13.0,SEDANG
52.0,7.0,23.0,38.0,8.0,SEDANG
58.0,7.0,24.0,68.0,15.0,SEDANG
67.0,5.0,58.0,65.0,24.0,SEDANG
70.0,9.0,35.0,77.0,19.0,SEDANG
62.0,8.0,35.0,56.0,20.0,SEDANG
61.0,7.0,32.0,72.0,21.0,SEDANG
70.0,10.0,32.0,74.0,17.0,SEDANG
56.0,6.0,31.0,42.0,15.0,SEDANG
57.0,8.0,30.0,49.0,16.0,SEDANG
61.0,7.0,19.0,51.0,11.0,SEDANG
65.0,6.0,33.0,50.0,27.0,SEDANG
78.0,7.0,32.0,89.0,19.0,SEDANG
55.0,4.0,19.0,78.0,17.0,SEDANG
67.0,6.0,58.0,88.0,12.0,SEDANG
53.0,4.0,21.0,74.0,12.0,SEDANG
56.0,4.0,19.0,79.0,11.0,SEDANG
53.0,5.0,23.0,74.0,13.0,SEDANG
51.0,5.0,23.0,86.0,14.0,SEDANG
57.0,8.0,21.0,74.0,18.0,SEDANG
56.0,8.0,22.0,62.0,13.0,SEDANG
58.0,9.0,25.0,39.0,14.0,SEDANG
57.0,9.0,23.0,68.0,10.0,SEDANG
55.0,6.0,18.0,65.0,10.0,SEDANG
50.0,4.0,25.0,77.0,12.0,SEDANG
54.0,7.0,26.0,66.0,14.0,SEDANG
58.0,9.0,27.0,66.0,19.0,SEDANG
67.0,9.0,30.0,72.0,19.0,SEDANG
69.0,8.0,27.0,63.0,14.0,SEDANG
75.0,10.0,30.0,58.0,22.0,SEDANG
69.0,9.0,26.0,58.0,19.0,SEDANG
64.0,9.0,15.0,57.0,10.0,SEDANG
62.0,9.0,25.0,48.0,12.0,SEDANG
61.0,9.0,27.0,58.0,14.0,SEDANG
68.0,8.0,28.0,72.0,23.0,SEDANG
63.0,9.0,27.0,49.0,12.0,SEDANG
69.0,9.0,30.0,53.0,16.0,SEDANG
58.0,6.0,28.0,49.0,15.0,SEDANG
61.0,9.0,15.0,67.0,13.0,SEDANG
62.0,9.0,28.0,77.0,15.0,SEDANG
69.0,7.0,35.0,74.0,24.0,SEDANG
68.0,6.0,33.0,82.0,19.0,SEDANG
72.0,8.0,29.0,98.0,24.0,SEDANG
67.0,7.0,31.0,74.0,19.0,SEDANG
70.0,9.0,32.0,64.0,19.0,SEDANG
62.0,5.0,26.0,72.0,14.0,SEDANG
68.0,7.0,34.0,68.0,20.0,SEDANG
80.0,9.0,35.0,74.0,21.0,SEDANG
66.0,10.0,33.0,57.0,18.0,SEDANG
71.0,10.0,29.0,48.0,17.0,SEDANG
73.0,8.0,32.0,66.0,22.0,SEDANG
65.0,7.0,28.0,90.0,19.0,SEDANG
51.0,5.0,24.0,81.0,15.0,SEDANG
64.0,7.0,30.0,62.0,17.0,SEDANG
71.0,8.0,30.0,74.0,19.0,SEDANG
68.0,9.0,32.0,49.0,18.0,SEDANG
62.0,7.0,25.0,94.0,19.0,SEDANG
65.0,6.0,33.0,89.0,16.0,SEDANG
66.0,8.0,30.0,71.0,27.0,SEDANG
64.0,9.0,27.0,48.0,22.0,SEDANG
63.0,10.0,27.0,64.0,30.0,SEDANG
67.0,7.0,26.0,80.0,19.0,SEDANG
65.0,8.0,31.0,76.0,19.0,SEDANG
70.0,10.0,26.0,66.0,18.0,SEDANG
72.0,11.0,26.0,69.0,12.0,SEDANG
69.0,8.0,29.0,60.0,18.0,SEDANG
85.0,10.0,33.0,79.0,23.0,SEDANG
78.0,9.0,31.0,81.0,21.0,SEDANG
71.0,8.0,33.0,78.0,24.0,SEDANG
71.0,9.0,31.0,72.0,19.0,SEDANG
74.0,9.0,31.0,88.0,18.0,SEDANG
75.0,5.0,30.0,123.0,18.0,TIDAK SEHAT
67.0,8.0,31.0,80.0,17.0,SEDANG
72.0,10.0,32.0,58.0,22.0,SEDANG
60.0,10.0,29.0,69.0,19.0,SEDANG
61.0,8.0,31.0,59.0,21.0,SEDANG
64.0,9.0,30.0,84.0,21.0,SEDANG
62.0,10.0,29.0,94.0,18.0,SEDANG
59.0,5.0,20.0,76.0,14.0,SEDANG
60.0,6.0,30.0,66.0,15.0,SEDANG
56.0,6.0,18.0,57.0,11.0,SEDANG
65.0,9.0,25.0,49.0,14.0,SEDANG
65.0,10.0,20.0,44.0,12.0,SEDANG
59.0,9.0,23.0,48.0,10.0,SEDANG
72.0,8.0,37.0,97.0,18.0,SEDANG
47.0,7.0,19.0,65.0,12.0,SEDANG
63.0,8.0,31.0,93.0,19.0,SEDANG
66.0,9.0,30.0,52.0,18.0,SEDANG
66.0,8.0,33.0,60.0,25.0,SEDANG
65.0,7.0,38.0,99.0,22.0,SEDANG
82.0,11.0,38.0,70.0,30.0,SEDANG
78.0,9.0,35.0,70.0,18.0,SEDANG
74.0,8.0,41.0,70.0,18.0,SEDANG
58.0,9.0,30.0,52.0,15.0,SEDANG
65.0,8.0,42.0,63.0,23.0,SEDANG
69.0,7.0,59.0,81.0,24.0,SEDANG
76.0,8.0,38.0,81.0,20.0,SEDANG
69.0,8.0,34.0,84.0,22.0,SEDANG
59.0,8.0,44.0,74.0,23.0,SEDANG
66.0,8.0,30.0,83.0,21.0,SEDANG
71.0,8.0,31.0,89.0,18.0,SEDANG
74.0,7.0,32.0,99.0,19.0,SEDANG
75.0,10.0,36.0,85.0,28.0,SEDANG
75.0,9.0,35.0,84.0,25.0,SEDANG
59.0,8.0,49.0,43.0,19.0,SEDANG
75.0,10.0,42.0,69.0,21.0,SEDANG
60.0,5.0,37.0,87.0,19.0,SEDANG
68.0,6.0,60.0,114.0,20.0,TIDAK SEHAT
62.0,8.0,33.0,98.0,18.0,SEDANG
58.0,9.0,33.0,56.0,16.0,SEDANG
49.0,5.0,32.0,58.0,13.0,SEDANG
48.0,7.0,29.0,43.0,12.0,BAIK
48.0,8.0,26.0,29.0,9.0,BAIK
39.0,8.0,21.0,19.0,9.0,BAIK
51.0,9.0,28.0,37.0,16.0,SEDANG
58.0,11.0,26.0,46.0,13.0,SEDANG
59.0,13.0,27.0,59.0,17.0,SEDANG
62.0,7.0,20.0,67.0,14.0,SEDANG
55.0,10.0,27.0,78.0,12.0,SEDANG
63.0,12.0,27.0,33.0,17.0,SEDANG
58.0,10.0,35.0,65.0,20.0,SEDANG
80.0,13.0,32.0,67.0,18.0,SEDANG
52.0,8.0,28.0,71.0,15.0,SEDANG
61.0,9.0,31.0,100.0,24.0,SEDANG
61.0,6.0,19.0,83.0,16.0,SEDANG
72.0,7.0,32.0,93.0,19.0,SEDANG
75.0,5.0,37.0,106.0,18.0,TIDAK SEHAT
72.0,7.0,38.0,83.0,15.0,SEDANG
57.0,7.0,33.0,76.0,13.0,SEDANG
56.0,6.0,42.0,78.0,17.0,SEDANG
43.0,2.0,41.0,88.0,21.0,SEDANG
38.0,2.0,39.0,65.0,21.0,SEDANG
71.0,4.0,43.0,61.0,20.0,SEDANG
61.0,5.0,32.0,79.0,17.0,SEDANG
40.0,4.0,32.0,43.0,10.0,BAIK
57.0,9.0,32.0,63.0,12.0,SEDANG
57.0,5.0,21.0,61.0,12.0,SEDANG
63.0,4.0,33.0,52.0,15.0,SEDANG
61.0,7.0,28.0,51.0,11.0,SEDANG
50.0,4.0,21.0,55.0,12.0,SEDANG
41.0,4.0,26.0,53.0,12.0,SEDANG
28.0,2.0,26.0,52.0,13.0,SEDANG
77.0,3.0,39.0,54.0,13.0,SEDANG
55.0,4.0,29.0,58.0,12.0,SEDANG
60.0,5.0,40.0,68.0,13.0,SEDANG
55.0,7.0,30.0,56.0,14.0,SEDANG
39.0,4.0,18.0,48.0,10.0,BAIK
27.0,2.0,18.0,45.0,6.0,BAIK
40.0,5.0,27.0,52.0,13.0,SEDANG
51.0,3.0,31.0,57.0,12.0,SEDANG
50.0,5.0,39.0,41.0,10.0,BAIK
39.0,3.0,24.0,56.0,10.0,SEDANG
51.0,4.0,28.0,75.0,21.0,SEDANG
44.0,1.0,25.0,71.0,13.0,SEDANG
40.0,6.0,39.0,54.0,15.0,SEDANG
54.0,9.0,36.0,53.0,16.0,SEDANG
46.0,3.0,29.0,54.0,10.0,SEDANG
50.0,4.0,39.0,46.0,14.0,BAIK
51.0,2.0,33.0,56.0,18.0,SEDANG
39.0,1.0,25.0,55.0,15.0,SEDANG
38.0,1.0,26.0,57.0,15.0,SEDANG
54.0,2.0,23.0,53.0,13.0,SEDANG
44.0,2.0,28.0,52.0,15.0,SEDANG
59.0,7.0,29.0,51.0,15.0,SEDANG
48.0,2.0,26.0,53.0,15.0,SEDANG
59.0,4.0,41.0,50.0,17.0,SEDANG
53.0,2.0,23.0,53.0,15.0,SEDANG
60.0,3.0,32.0,56.0,12.0,SEDANG
65.0,2.0,29.0,51.0,13.0,SEDANG
51.0,2.0,40.0,48.0,17.0,SEDANG
56.0,4.0,35.0,47.0,13.0,SEDANG
47.0,5.0,30.0,46.0,15.0,BAIK
55.0,2.0,56.0,54.0,20.0,SEDANG
46.0,3.0,36.0,47.0,20.0,BAIK
57.0,5.0,32.0,53.0,15.0,SEDANG
58.0,2.0,28.0,57.0,11.0,SEDANG
67.0,5.0,31.0,49.0,15.0,SEDANG
58.0,5.0,28.0,45.0,18.0,SEDANG
59.0,5.0,29.0,43.0,13.0,SEDANG
73.0,13.0,47.0,42.0,14.0,SEDANG
87.0,7.0,42.0,54.0,25.0,SEDANG
75.0,7.0,37.0,48.0,16.0,SEDANG
77.0,7.0,35.0,59.0,21.0,SEDANG
46.0,8.0,29.0,55.0,13.0,SEDANG
46.0,6.0,32.0,43.0,12.0,BAIK
34.0,4.0,34.0,41.0,13.0,BAIK
44.0,4.0,38.0,41.0,17.0,BAIK
54.0,5.0,43.0,53.0,25.0,SEDANG
52.0,5.0,43.0,39.0,17.0,SEDANG
63.0,4.0,57.0,53.0,28.0,SEDANG
94.0,7.0,90.0,49.0,34.0,SEDANG
72.0,5.0,36.0,47.0,16.0,SEDANG
59.0,3.0,26.0,70.0,12.0,SEDANG
61.0,8.0,33.0,71.0,20.0,SEDANG
59.0,8.0,30.0,60.0,17.0,SEDANG
65.0,6.0,31.0,60.0,16.0,SEDANG
88.0,10.0,42.0,101.0,26.0,TIDAK SEHAT
77.0,6.0,38.0,70.0,26.0,SEDANG
72.0,6.0,30.0,58.0,23.0,SEDANG
78.0,5.0,45.0,60.0,16.0,SEDANG
68.0,3.0,40.0,63.0,22.0,SEDANG
83.0,5.0,49.0,50.0,21.0,SEDANG
61.0,6.0,51.0,47.0,20.0,SEDANG
85.0,7.0,62.0,60.0,26.0,SEDANG
69.0,7.0,36.0,63.0,22.0,SEDANG
86.0,12.0,67.0,63.0,27.0,SEDANG
80.0,4.0,50.0,58.0,14.0,SEDANG
80.0,4.0,45.0,84.0,26.0,SEDANG
77.0,7.0,52.0,71.0,22.0,SEDANG
66.0,10.0,36.0,70.0,18.0,SEDANG
80.0,11.0,48.0,107.0,27.0,TIDAK SEHAT
58.0,7.0,40.0,63.0,15.0,SEDANG
51.0,7.0,29.0,42.0,14.0,SEDANG
44.0,4.0,21.0,51.0,11.0,SEDANG
68.0,4.0,49.0,54.0,14.0,SEDANG
54.0,4.0,25.0,52.0,12.0,SEDANG
68.0,7.0,35.0,78.0,23.0,SEDANG
54.0,6.0,30.0,70.0,16.0,SEDANG
53.0,6.0,23.0,62.0,14.0,SEDANG
57.0,7.0,22.0,53.0,8.0,SEDANG
64.0,9.0,37.0,59.0,14.0,SEDANG
55.0,7.0,28.0,54.0,17.0,SEDANG
57.0,8.0,40.0,86.0,20.0,SEDANG
65.0,5.0,37.0,66.0,20.0,SEDANG
71.0,25.0,72.0,78.0,20.0,SEDANG
39.0,13.0,20.0,56.0,12.0,SEDANG
42.0,17.0,30.0,57.0,17.0,SEDANG
54.0,21.0,47.0,55.0,11.0,SEDANG
25.0,11.0,21.0,51.0,9.0,SEDANG
39.0,14.0,25.0,46.0,12.0,BAIK
51.0,17.0,27.0,50.0,13.0,SEDANG
65.0,22.0,62.0,58.0,21.0,SEDANG
45.0,18.0,21.0,54.0,15.0,SEDANG
40.0,15.0,30.0,48.0,10.0,BAIK
36.0,16.0,28.0,47.0,14.0,BAIK
41.0,17.0,36.0,58.0,20.0,SEDANG
66.0,24.0,40.0,88.0,21.0,SEDANG
66.0,25.0,48.0,94.0,16.0,SEDANG
64.0,16.0,30.0,66.0,14.0,SEDANG
34.0,18.0,46.0,42.0,15.0,BAIK
51.0,14.0,25.0,48.0,14.0,SEDANG
27.0,11.0,20.0,43.0,9.0,BAIK
60.0,25.0,48.0,64.0,13.0,SEDANG
43.0,17.0,30.0,41.0,11.0,BAIK
29.0,17.0,21.0,56.0,9.0,SEDANG
40.0,6.0,22.0,51.0,12.0,SEDANG
45.0,5.0,23.0,62.0,12.0,SEDANG
52.0,5.0,35.0,87.0,21.0,SEDANG
54.0,5.0,34.0,86.0,27.0,SEDANG
56.0,5.0,35.0,85.0,29.0,SEDANG
60.0,8.0,40.0,69.0,18.0,SEDANG
77.0,8.0,38.0,69.0,28.0,SEDANG
51.0,9.0,22.0,54.0,12.0,SEDANG
50.0,8.0,27.0,53.0,14.0,SEDANG
55.0,8.0,28.0,55.0,13.0,SEDANG
48.0,6.0,26.0,66.0,19.0,SEDANG
63.0,6.0,36.0,62.0,18.0,SEDANG
44.0,7.0,30.0,78.0,31.0,SEDANG
56.0,7.0,34.0,55.0,21.0,SEDANG
56.0,4.0,23.0,74.0,20.0,SEDANG
61.0,4.0,44.0,67.0,20.0,SEDANG
68.0,5.0,36.0,100.0,20.0,SEDANG
52.0,6.0,37.0,69.0,24.0,SEDANG
54.0,9.0,32.0,70.0,19.0,SEDANG
57.0,10.0,37.0,45.0,21.0,SEDANG
51.0,9.0,28.0,42.0,12.0,SEDANG
54.0,8.0,28.0,84.0,17.0,SEDANG
65.0,8.0,38.0,74.0,27.0,SEDANG
68.0,8.0,36.0,59.0,21.0,SEDANG
63.0,8.0,41.0,60.0,16.0,SEDANG
45.0,7.0,30.0,42.0,14.0,BAIK
47.0,7.0,39.0,49.0,20.0,BAIK
60.0,7.0,42.0,51.0,18.0,SEDANG
61.0,7.0,30.0,43.0,12.0,SEDANG
50.0,7.0,35.0,44.0,14.0,BAIK
58.0,10.0,31.0,54.0,19.0,SEDANG
62.0,7.0,43.0,52.0,21.0,SEDANG
67.0,6.0,55.0,64.0,21.0,SEDANG
52.0,11.0,26.0,42.0,16.0,SEDANG
58.0,11.0,28.0,37.0,18.0,SEDANG
56.0,9.0,32.0,51.0,16.0,SEDANG
51.0,10.0,36.0,61.0,22.0,SEDANG
65.0,9.0,42.0,43.0,26.0,SEDANG
61.0,13.0,32.0,52.0,17.0,SEDANG
59.0,11.0,27.0,46.0,13.0,SEDANG
52.0,10.0,27.0,43.0,14.0,SEDANG
38.0,7.0,26.0,57.0,18.0,SEDANG
64.0,5.0,43.0,96.0,22.0,SEDANG
63.0,5.0,37.0,145.0,20.0,TIDAK SEHAT
34.0,6.0,39.0,116.0,28.0,TIDAK SEHAT
71.0,9.0,65.0,46.0,24.0,SEDANG
53.0,6.0,34.0,51.0,16.0,SEDANG
58.0,9.0,43.0,63.0,21.0,SEDANG
43.0,8.0,35.0,62.0,17.0,SEDANG
54.0,10.0,29.0,45.0,17.0,SEDANG
40.0,10.0,31.0,56.0,18.0,SEDANG
61.0,10.0,31.0,40.0,14.0,SEDANG
53.0,9.0,23.0,46.0,11.0,SEDANG
84.0,8.0,69.0,79.0,26.0,SEDANG
60.0,9.0,34.0,52.0,14.0,SEDANG
55.0,8.0,24.0,47.0,13.0,SEDANG
55.0,9.0,24.0,46.0,14.0,SEDANG
54.0,8.0,35.0,29.0,24.0,SEDANG
92.0,11.0,52.0,52.0,22.0,SEDANG
53.0,7.0,31.0,57.0,17.0,SEDANG
73.0,11.0,26.0,66.0,19.0,SEDANG
56.0,8.0,34.0,75.0,22.0,SEDANG
55.0,11.0,32.0,52.0,16.0,SEDANG
57.0,12.0,28.0,45.0,23.0,SEDANG
85.0,10.0,51.0,55.0,29.0,SEDANG
69.0,15.0,36.0,41.0,18.0,SEDANG
53.0,9.0,27.0,45.0,22.0,SEDANG
45.0,7.0,21.0,44.0,13.0,BAIK
47.0,8.0,43.0,40.0,24.0,BAIK
56.0,10.0,38.0,42.0,25.0,SEDANG
74.0,11.0,58.0,31.0,29.0,SEDANG
43.0,8.0,29.0,70.0,15.0,SEDANG
56.0,11.0,24.0,41.0,13.0,SEDANG
57.0,8.0,35.0,49.0,20.0,SEDANG
69.0,6.0,52.0,41.0,18.0,SEDANG
50.0,8.0,33.0,45.0,17.0,BAIK
55.0,10.0,30.0,41.0,19.0,SEDANG
44.0,7.0,45.0,56.0,21.0,SEDANG
57.0,6.0,37.0,62.0,21.0,SEDANG
62.0,8.0,36.0,55.0,21.0,SEDANG
52.0,10.0,30.0,62.0,24.0,SEDANG
54.0,8.0,39.0,50.0,13.0,SEDANG
50.0,7.0,38.0,49.0,21.0,BAIK
51.0,7.0,32.0,78.0,18.0,SEDANG
37.0,6.0,27.0,57.0,16.0,SEDANG
50.0,10.0,29.0,57.0,19.0,SEDANG
60.0,6.0,43.0,47.0,16.0,SEDANG
48.0,6.0,27.0,47.0,14.0,BAIK
33.0,5.0,26.0,60.0,11.0,SEDANG
60.0,6.0,39.0,71.0,13.0,SEDANG
24.0,7.0,13.0,41.0,11.0,BAIK
33.0,8.0,12.0,52.0,11.0,SEDANG
30.0,7.0,13.0,64.0,9.0,SEDANG
40.0,9.0,12.0,64.0,10.0,SEDANG
37.0,10.0,13.0,60.0,12.0,SEDANG
52.0,8.0,19.0,57.0,11.0,SEDANG
42.0,8.0,21.0,48.0,12.0,BAIK
44.0,10.0,17.0,43.0,11.0,BAIK
39.0,11.0,14.0,39.0,7.0,BAIK
45.0,10.0,21.0,49.0,11.0,BAIK
55.0,10.0,27.0,60.0,14.0,SEDANG
56.0,10.0,24.0,67.0,15.0,SEDANG
52.0,11.0,16.0,61.0,18.0,SEDANG
52.0,11.0,26.0,49.0,14.0,SEDANG
50.0,11.0,32.0,44.0,17.0,BAIK
57.0,13.0,24.0,49.0,13.0,SEDANG
55.0,11.0,30.0,61.0,19.0,SEDANG
42.0,9.0,26.0,51.0,15.0,SEDANG
43.0,10.0,19.0,50.0,16.0,BAIK
51.0,11.0,23.0,60.0,13.0,SEDANG
53.0,14.0,25.0,50.0,18.0,SEDANG
56.0,12.0,31.0,72.0,20.0,SEDANG
63.0,12.0,28.0,68.0,18.0,SEDANG
53.0,10.0,25.0,47.0,20.0,SEDANG
51.0,13.0,18.0,62.0,13.0,SEDANG
49.0,9.0,15.0,62.0,8.0,SEDANG
41.0,9.0,30.0,68.0,25.0,SEDANG
44.0,13.0,31.0,65.0,17.0,SEDANG
55.0,12.0,26.0,45.0,18.0,SEDANG
49.0,12.0,24.0,49.0,14.0,BAIK
52.0,11.0,27.0,55.0,17.0,SEDANG
58.0,9.0,27.0,44.0,18.0,SEDANG
55.0,10.0,17.0,54.0,14.0,SEDANG
50.0,11.0,20.0,50.0,15.0,BAIK
44.0,11.0,27.0,56.0,17.0,SEDANG
58.0,12.0,26.0,68.0,18.0,SEDANG
59.0,10.0,29.0,69.0,18.0,SEDANG
52.0,10.0,32.0,66.0,25.0,SEDANG
51.0,10.0,30.0,94.0,18.0,SEDANG
57.0,10.0,27.0,67.0,18.0,SEDANG
54.0,11.0,27.0,55.0,21.0,SEDANG
59.0,12.0,28.0,48.0,20.0,SEDANG
55.0,11.0,26.0,83.0,24.0,SEDANG
56.0,13.0,21.0,49.0,15.0,SEDANG
52.0,11.0,24.0,45.0,14.0,SEDANG
51.0,12.0,21.0,39.0,13.0,SEDANG
45.0,11.0,18.0,38.0,15.0,BAIK
63.0,9.0,38.0,72.0,18.0,SEDANG
58.0,9.0,31.0,47.0,19.0,SEDANG
50.0,10.0,26.0,37.0,16.0,BAIK
43.0,11.0,20.0,41.0,16.0,BAIK
59.0,13.0,28.0,74.0,24.0,SEDANG
58.0,12.0,28.0,56.0,22.0,SEDANG
58.0,13.0,24.0,48.0,20.0,SEDANG
63.0,13.0,32.0,63.0,20.0,SEDANG
56.0,12.0,28.0,51.0,17.0,SEDANG
53.0,16.0,31.0,45.0,24.0,SEDANG
55.0,13.0,26.0,38.0,20.0,SEDANG
51.0,12.0,30.0,45.0,18.0,SEDANG
53.0,13.0,27.0,49.0,18.0,SEDANG
45.0,14.0,22.0,51.0,22.0,SEDANG
56.0,16.0,30.0,78.0,23.0,SEDANG
55.0,14.0,28.0,75.0,18.0,SEDANG
62.0,11.0,33.0,67.0,16.0,SEDANG
54.0,9.0,26.0,36.0,15.0,SEDANG
63.0,9.0,35.0,59.0,24.0,SEDANG
58.0,11.0,27.0,52.0,16.0,SEDANG
51.0,11.0,27.0,48.0,20.0,SEDANG
46.0,11.0,34.0,54.0,19.0,SEDANG
43.0,13.0,21.0,57.0,18.0,SEDANG
45.0,11.0,22.0,52.0,16.0,SEDANG
50.0,13.0,23.0,46.0,22.0,BAIK
52.0,13.0,27.0,62.0,27.0,SEDANG
52.0,9.0,27.0,55.0,21.0,SEDANG
57.0,13.0,30.0,52.0,16.0,SEDANG
52.0,10.0,36.0,72.0,15.0,SEDANG
48.0,9.0,32.0,62.0,24.0,SEDANG
41.0,10.0,27.0,70.0,20.0,SEDANG
43.0,12.0,25.0,57.0,19.0,SEDANG
48.0,9.0,27.0,44.0,18.0,BAIK
52.0,11.0,26.0,49.0,19.0,SEDANG
33.0,9.0,22.0,69.0,21.0,SEDANG
46.0,9.0,32.0,84.0,19.0,SEDANG
44.0,11.0,25.0,71.0,21.0,SEDANG
36.0,12.0,28.0,64.0,23.0,SEDANG
30.0,10.0,27.0,51.0,22.0,SEDANG
